do-si,sgg,lon,lat
강원,강릉시,128.8784972,37.74913611
강원,고성군,128.4701639,38.37796111
강원,동해시,129.1166333,37.52193056
강원,삼척시,129.1674889,37.44708611
강원,속초시,128.5941667,38.204275
강원,양구군,127.9922444,38.10729167
강원,양양군,128.6213556,38.07283333
강원,영월군,128.4640194,37.18086111
강원,원주시,127.9220556,37.33908333
강원,인제군,128.1726972,38.06697222
강원,정선군,128.6630861,37.37780833
강원,철원군,127.3157333,38.14405556
강원,춘천시,127.7323111,37.87854167
강원,태백시,128.9879972,37.16122778
강원,평창군,128.3923528,37.36791667
강원,홍천군,127.8908417,37.69442222
강원,화천군,127.7103556,38.10340833
강원,횡성군,127.9872222,37.48895833
경기,가평군,127.5117778,37.82883056
경기,강화군,126.49,37.74385833
경기,고양시,126.7770556,37.65590833
경기,과천시,126.9898,37.42637222
경기,광명시,126.8667083,37.47575
경기,광주시,127.2577861,37.41450556
경기,구리시,127.1318639,37.591625
경기,군포시,126.9375,37.35865833
경기,김포시,126.7177778,37.61245833
경기,남양주시,127.2186333,37.63317778
경기,동두천시,127.0626528,37.90091667
경기,부천시,126.766,37.5035917
경기,성남시,127.1477194,37.44749167
경기,수원시,127.0122222,37.30101111
경기,시흥시,126.8050778,37.37731944
경기,안산시,126.8468194,37.29851944
경기,안성시,127.2818444,37.005175
경기,안양시,126.9533556,37.3897
경기,양주시,127.0478194,37.78245
경기,양평군,127.4898861,37.48893611
경기,여주군,127.652958,37.324606
경기,여주시,127.6396222,37.29535833
경기,연천군,127.0770667,38.09336389
경기,오산시,127.0796417,37.14691389
경기,옹진군,126.6388889,37.443725
경기,용인시,127.2038444,37.23147778
경기,의왕시,126.9703889,37.34195
경기,의정부시,127.0358417,37.73528889
경기,이천시,127.4432194,37.27543611
경기,파주시,126.7819528,37.75708333
경기,평택시,127.1146556,36.98943889
경기,포천시,127.2024194,37.89215556
경기,하남시,127.217,37.53649722
경기,화성시,126.8335306,37.19681667
경기,인천시,126.7059186,37.45617301
경상,거제시,128.6233556,34.87735833
경상,거창군,127.9116556,35.683625
경상,경산시,128.7434639,35.82208889
경상,경주시,129.2270222,35.85316944
경상,고령군,128.2650222,35.72298611
경상,고성군,128.3245417,34.9699
경상,구미시,128.3467778,36.11655
경상,군위군,128.5750778,36.23999722
경상,기장군,129.224475,35.24135
경상,김천시,128.1158,36.13689722
경상,김해시,128.8916667,35.22550556
경상,남해군,127.8944667,34.83455833
경상,달성군,128.433275,35.77168056
경상,마산시,128.567863 ,35.196874 
경상,문경시,128.1890194,36.58363056
경상,밀양시,128.7489444,35.50077778
경상,봉화군,128.734875,36.89026111
경상,사천시,128.0667778,35.00028333
경상,산청군,127.8756194,35.41249167
경상,상주시,128.1612639,36.40796944
경상,성주군,128.2851528,35.91621111
경상,안동시,128.7316222,36.56546389
경상,양산시,129.0394111,35.33192778
경상,영덕군,129.3683556,36.41210278
경상,영양군,129.1146222,36.664275
경상,영주시,128.6263444,36.80293611
경상,영천시,128.940775,35.97005278
경상,예천군,128.4550222,36.65495000
경상,울릉군,130.9037889,37.48057500
경상,울주군,129.2971639,35.53073889
경상,울진군,129.4027861,36.99018611
경상,의령군,128.2638222,35.31911944
경상,의성군,128.6993639,36.34975833
경상,진주시,128.1100000,35.17703333
경상,진해시,128.710081 ,35.1330600 
경상,창녕군,128.4945333,35.54153611
경상,창원시,128.6401544,35.2540033
경상,청도군,128.7362000,35.64431111
경상,청송군,129.0594000,36.43329167
경상,칠곡군,128.4037972,35.99254722
경상,통영시,128.4352778,34.85125833
경상,포항시,129.3616667,36.00568611
경상,하동군,127.7534306,35.06420278
경상,함안군,128.4087083,35.26940556
경상,함양군,127.7274194,35.51746944
경상,합천군,128.1679306,35.56361667
경상,부산시,129.075,35.1798
경상,대구시,128.6017,35.8715
경상,울산시,129.3123,35.546
광주시,광산구,126.793668,35.13995836
광주시,남구,126.9025572,35.13301749
광주시,동구,126.9230903,35.14627776
광주시,북구,126.9010806,35.1812138
광주시,서구,126.8895063,35.1525164
대구시,달서구,128.5350639,35.82692778
대구시,수성구,128.6328667,35.85520833
대구시,남구,128.597702,35.84621351
대구시,달서구,128.5325905,35.82997744
대구시,달성군,128.4313995,35.77475029
대구시,동구,128.6355584,35.88682728
대구시,북구,128.5828924,35.8858646
대구시,서구,128.5591601,35.87194054
대구시,수성구,128.6307011,35.85835148
대구시,중구,128.6061745,35.86952722
대전시,대덕구,127.4170933,36.35218384
대전시,동구,127.4548596,36.31204028
